구분,한경1호기(kWh),한경2호기(kWh),한경3호기(kWh),한경5호기(kWh),한경6호기(kWh),한경7호기(kWh),한경8호기(kWh),한경9호기(kWh)
2018-11-07,0,5049,4673,0,13352,10776,9432,6776
2018-11-08,4940,21085,20946,0,37448,37512,36176,41144
2018-11-09,16061,8312,13205,0,26856,25632,19160,26432
2018-11-10,890,1113,1871,0,4796,4312,5072,2368
2018-11-11,2322,4133,3723,0,9836,7960,7752,6328
2018-11-12,979,22951,28991,0,40588,50104,46096,42504
2018-11-13,0,24737,21582,0,35708,34240,32712,0
2018-11-14,0,9560,8091,0,16624,15080,16104,2664
2018-11-15,394,836,360,0,2468,64,2384,1120
2018-11-16,13683,15050,12466,0,25680,13184,23928,25040
2018-11-17,21142,24164,19841,0,36892,33568,34464,37048
2018-11-18,6289,11628,9709,0,19244,16552,19168,15696
2018-11-19,10333,15902,13500,0,26660,21568,24560,22584
2018-11-20,5190,6676,5408,0,10756,9688,9784,9560
2018-11-21,3434,3569,3647,0,8364,7960,8344,5792
2018-11-22,26839,27790,25190,0,48872,45048,45344,51280
2018-11-23,3441,3092,2452,0,6624,7120,7360,3512
2018-11-24,12102,13479,13147,0,21148,21752,21720,24112
2018-11-25,726,492,1539,0,3720,3552,3288,2144
2018-11-26,995,281,2254,0,5844,4968,4272,1984
2018-11-27,4623,6272,5685,0,11144,10392,11992,10304
2018-11-28,11006,12911,10739,0,22176,19304,20696,18480
2018-11-29,147,501,881,0,3024,2624,3736,2360
2018-11-30,74,0,147,0,892,984,1088,944
2018-12-01,3456,6563,7406,0,16936,13904,13704,8320
2018-12-02,5041,5722,5550,0,10144,11608,11804,11348
2018-12-03,1895,2036,2677,0,5068,5328,5360,5920
2018-12-04,26129,25854,24345,0,52492,50924,51812,53188
2018-12-05,20288,22248,21944,0,41464,39528,40688,38304
2018-12-06,26730,28129,24057,0,50470,43682,47338,52858
2018-12-07,34669,35318,32950,0,49216,62656,58632,66768
2018-12-08,26881,28903,25133,0,34172,42672,42080,50232
2018-12-09,18925,19794,16685,0,0,27032,28648,27928
2018-12-10,12996,8557,10748,0,0,20912,18856,10448
2018-12-11,25208,27528,23360,0,26138,41382,42054,43454
2018-12-12,31945,33615,28799,0,20144,42608,44984,49752
2018-12-13,26796,27946,27636,0,0,17040,17944,29864
2018-12-14,29512,32277,23704,0,0,41352,47336,55392
2018-12-15,7687,6788,6855,0,8,12096,12296,9312
2018-12-16,152,10558,8273,0,0,13296,15544,16480
2018-12-17,16505,33431,33240,0,36638,35842,52970,59162
2018-12-18,12056,11604,10282,0,19396,18792,10480,19096
2018-12-19,8665,4251,11175,0,10552,12864,10680,19096
2018-12-20,9520,859,9631,0,18124,12272,16976,17408
2018-12-21,2054,3484,3066,0,9028,7184,7784,5112
